# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011-2026 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
2A28;002B;(⨨) (+);(PLUS SIGN WITH BLACK TRIANGLE) (PLUS SIGN)
FE62;002B;(﹢) (+);(SMALL PLUS SIGN) (PLUS SIGN)
FF0B;002B;(＋) (+);(FULLWIDTH PLUS SIGN) (PLUS SIGN)
1029B;002B;(𐊛) (+);(LYCIAN LETTER H) (PLUS SIGN)
060C;002C;(،) (,);(ARABIC COMMA) (COMMA)
060D;002C;(؍) (,);(ARABIC DATE SEPARATOR) (COMMA)
066B;002C;(٫) (,);(ARABIC DECIMAL SEPARATOR) (COMMA)
201A;002C;(‚) (,);(SINGLE LOW-9 QUOTATION MARK) (COMMA)
3001;002C;(、) (,);(IDEOGRAPHIC COMMA) (COMMA)
A4F9;002C;(ꓹ) (,);(LISU LETTER TONE NA PO) (COMMA)
FE50;002C;(﹐) (,);(SMALL COMMA) (COMMA)
FF0C;002C;(，) (,);(FULLWIDTH COMMA) (COMMA)
02D7;002D;(˗) (-);(MODIFIER LETTER MINUS SIGN) (HYPHEN-MINUS)
2010;002D;(‐) (-);(HYPHEN) (HYPHEN-MINUS)
2011;002D;(‑) (-);(NON-BREAKING HYPHEN) (HYPHEN-MINUS)
2012;002D;(‒) (-);(FIGURE DASH) (HYPHEN-MINUS)
2013;002D;(–) (-);(EN DASH) (HYPHEN-MINUS)
2043;002D;(⁃) (-);(HYPHEN BULLET) (HYPHEN-MINUS)
2212;002D;(−) (-);(MINUS SIGN) (HYPHEN-MINUS)
2796;002D;(➖) (-);(HEAVY MINUS SIGN) (HYPHEN-MINUS)
2CBA;002D;(Ⲻ) (-);(COPTIC CAPITAL LETTER DIALECT-P NI) (HYPHEN-MINUS)
A4FE;002D 002E;(꓾) (-.);(LISU PUNCTUATION COMMA) (HYPHEN-MINUS  FULL STOP)
FE58;002D;(﹘) (-);(SMALL EM DASH) (HYPHEN-MINUS)
FE63;002D;(﹣) (-);(SMALL HYPHEN-MINUS) (HYPHEN-MINUS)
FF0D;002D;(－) (-);(FULLWIDTH HYPHEN-MINUS) (HYPHEN-MINUS)
0660;002E;(٠) (.);(ARABIC-INDIC DIGIT ZERO) (FULL STOP)
06D4;002E;(۔) (.);(ARABIC FULL STOP) (FULL STOP)
06F0;002E;(۰) (.);(EXTENDED ARABIC-INDIC DIGIT ZERO) (FULL STOP)
0701;002E;(܁) (.);(SYRIAC SUPRALINEAR FULL STOP) (FULL STOP)
0702;002E;(܂) (.);(SYRIAC SUBLINEAR FULL STOP) (FULL STOP)
2023;002E;(‣) (.);(TRIANGULAR BULLET) (FULL STOP)
2024;002E;(․) (.);(ONE DOT LEADER) (FULL STOP)
2025;002E 002E;(‥) (..);(TWO DOT LEADER) (FULL STOP  FULL STOP)
2026;002E 002E 002E;(…) (...);(HORIZONTAL ELLIPSIS) (FULL STOP  FULL STOP  FULL STOP)
3002;002E;(。) (.);(IDEOGRAPHIC FULL STOP) (FULL STOP)
A4F8;002E;(ꓸ) (.);(LISU LETTER TONE MYA TI) (FULL STOP)
A4FA;002E 002E;(ꓺ) (..);(LISU LETTER TONE MYA CYA) (FULL STOP  FULL STOP)
A4FB;002E 002C;(ꓻ) (.,);(LISU LETTER TONE MYA BO) (FULL STOP  COMMA)
FE52;002E;(﹒) (.);(SMALL FULL STOP) (FULL STOP)
FF0E;002E;(．) (.);(FULLWIDTH FULL STOP) (FULL STOP)
10A50;002E;(𐩐) (.);(KHAROSHTHI PUNCTUATION DOT) (FULL STOP)
1D16D;002E;(𝅭) (.);(MUSICAL SYMBOL COMBINING AUGMENTATION DOT) (FULL STOP)
0337;002F;(̷) (/);(COMBINING SHORT SOLIDUS OVERLAY) (SOLIDUS)
0338;002F;(̸) (/);(COMBINING LONG SOLIDUS OVERLAY) (SOLIDUS)
1735;002F;(᜵) (/);(PHILIPPINE SINGLE PUNCTUATION) (SOLIDUS)
2041;002F;(⁁) (/);(CARET INSERTION POINT) (SOLIDUS)
2044;002F;(⁄) (/);(FRACTION SLASH) (SOLIDUS)
2215;002F;(∕) (/);(DIVISION SLASH) (SOLIDUS)
2571;002F;(╱) (/);(BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT) (SOLIDUS)
27CB;002F;(⟋) (/);(MATHEMATICAL RISING DIAGONAL) (SOLIDUS)
29F6;002F;(⧶) (/);(SOLIDUS WITH OVERBAR) (SOLIDUS)
29F8;002F;(⧸) (/);(BIG SOLIDUS) (SOLIDUS)
2AFB;002F 002F 002F;(⫻) (///);(TRIPLE SOLIDUS BINARY RELATION) (SOLIDUS  SOLIDUS  SOLIDUS)
2AFD;002F 002F;(⫽) (//);(DOUBLE SOLIDUS OPERATOR) (SOLIDUS  SOLIDUS)
2CC6;002F;(Ⳇ) (/);(COPTIC CAPITAL LETTER OLD COPTIC ESH) (SOLIDUS)
2F03;002F;(⼃) (/);(KANGXI RADICAL SLASH) (SOLIDUS)
3033;002F;(〳) (/);(VERTICAL KANA REPEAT MARK UPPER HALF) (SOLIDUS)
30CE;002F;(ノ) (/);(KATAKANA LETTER NO) (SOLIDUS)
31D3;002F;(㇓) (/);(CJK STROKE SP) (SOLIDUS)
4E3F;002F;(丿) (/);(CJK UNIFIED IDEOGRAPH-4E3F) (SOLIDUS)
FF0F;002F;(／) (/);(FULLWIDTH SOLIDUS) (SOLIDUS)
1D23A;002F;(𝈺) (/);(GREEK INSTRUMENTAL NOTATION SYMBOL-47) (SOLIDUS)
0B66;0030;(୦) (0);(ORIYA DIGIT ZERO) (DIGIT ZERO)
2070;0030;(⁰) (0);(SUPERSCRIPT ZERO) (DIGIT ZERO)
2080;0030;(₀) (0);(SUBSCRIPT ZERO) (DIGIT ZERO)
24EA;0030;(⓪) (0);(CIRCLED DIGIT ZERO) (DIGIT ZERO)
FF10;0030;(０) (0);(FULLWIDTH DIGIT ZERO) (DIGIT ZERO)
1D7CE;0030;(𝟎) (0);(MATHEMATICAL BOLD DIGIT ZERO) (DIGIT ZERO)
1D7D8;0030;(𝟘) (0);(MATHEMATICAL DOUBLE-STRUCK DIGIT ZERO) (DIGIT ZERO)
1D7E2;0030;(𝟢) (0);(MATHEMATICAL SANS-SERIF DIGIT ZERO) (DIGIT ZERO)
1D7EC;0030;(𝟬) (0);(MATHEMATICAL SANS-SERIF BOLD DIGIT ZERO) (DIGIT ZERO)
1D7F6;0030;(𝟶) (0);(MATHEMATICAL MONOSPACE DIGIT ZERO) (DIGIT ZERO)
1F100;0030;(🄀) (0);(DIGIT ZERO FULL STOP) (DIGIT ZERO)
1F101;0030;(🄁) (0);(DIGIT ZERO COMMA) (DIGIT ZERO)
00B9;0031;(¹) (1);(SUPERSCRIPT ONE) (DIGIT ONE)
00BC;0031 002F 0034;(¼) (1/4);(VULGAR FRACTION ONE QUARTER) (DIGIT ONE  SOLIDUS  DIGIT FOUR)
00BD;0031 002F 0032;(½) (1/2);(VULGAR FRACTION ONE HALF) (DIGIT ONE  SOLIDUS  DIGIT TWO)
2081;0031;(₁) (1);(SUBSCRIPT ONE) (DIGIT ONE)
2153;0031 002F 0033;(⅓) (1/3);(VULGAR FRACTION ONE THIRD) (DIGIT ONE  SOLIDUS  DIGIT THREE)
2155;0031 002F 0035;(⅕) (1/5);(VULGAR FRACTION ONE FIFTH) (DIGIT ONE  SOLIDUS  DIGIT FIVE)
2159;0031 002F 0036;(⅙) (1/6);(VULGAR FRACTION ONE SIXTH) (DIGIT ONE  SOLIDUS  DIGIT SIX)
215B;0031 002F 0038;(⅛) (1/8);(VULGAR FRACTION ONE EIGHTH) (DIGIT ONE  SOLIDUS  DIGIT EIGHT)
215F;0031 002F;(⅟) (1/);(FRACTION NUMERATOR ONE) (DIGIT ONE  SOLIDUS)
2460;0031;(①) (1);(CIRCLED DIGIT ONE) (DIGIT ONE)
2469;0031 0030;(⑩) (10);(CIRCLED NUMBER TEN) (DIGIT ONE  DIGIT ZERO)
246A;0031 0031;(⑪) (11);(CIRCLED NUMBER ELEVEN) (DIGIT ONE  DIGIT ONE)
246B;0031 0032;(⑫) (12);(CIRCLED NUMBER TWELVE) (DIGIT ONE  DIGIT TWO)
246C;0031 0033;(⑬) (13);(CIRCLED NUMBER THIRTEEN) (DIGIT ONE  DIGIT THREE)
246D;0031 0034;(⑭) (14);(CIRCLED NUMBER FOURTEEN) (DIGIT ONE  DIGIT FOUR)
246E;0031 0035;(⑮) (15);(CIRCLED NUMBER FIFTEEN) (DIGIT ONE  DIGIT FIVE)
246F;0031 0036;(⑯) (16);(CIRCLED NUMBER SIXTEEN) (DIGIT ONE  DIGIT SIX)
2470;0031 0037;(⑰) (17);(CIRCLED NUMBER SEVENTEEN) (DIGIT ONE  DIGIT SEVEN)
2471;0031 0038;(⑱) (18);(CIRCLED NUMBER EIGHTEEN) (DIGIT ONE  DIGIT EIGHT)
2472;0031 0039;(⑲) (19);(CIRCLED NUMBER NINETEEN) (DIGIT ONE  DIGIT NINE)
2488;0031 002E;(⒈) (1.);(DIGIT ONE FULL STOP) (DIGIT ONE  FULL STOP)
2491;0031 0030 002E;(⒑) (10.);(NUMBER TEN FULL STOP) (DIGIT ONE  DIGIT ZERO  FULL STOP)
2492;0031 0031 002E;(⒒) (11.);(NUMBER ELEVEN FULL STOP) (DIGIT ONE  DIGIT ONE  FULL STOP)
2493;0031 0032 002E;(⒓) (12.);(NUMBER TWELVE FULL STOP) (DIGIT ONE  DIGIT TWO  FULL STOP)
2494;0031 0033 002E;(⒔) (13.);(NUMBER THIRTEEN FULL STOP) (DIGIT ONE  DIGIT THREE  FULL STOP)
2495;0031 0034 002E;(⒕) (14.);(NUMBER FOURTEEN FULL STOP) (DIGIT ONE  DIGIT FOUR  FULL STOP)
2496;0031 0035 002E;(⒖) (15.);(NUMBER FIFTEEN FULL STOP) (DIGIT ONE  DIGIT FIVE  FULL STOP)
2497;0031 0036 002E;(⒗) (16.);(NUMBER SIXTEEN FULL STOP) (DIGIT ONE  DIGIT SIX  FULL STOP)
2498;0031 0037 002E;(⒘) (17.);(NUMBER SEVENTEEN FULL STOP) (DIGIT ONE  DIGIT SEVEN  FULL STOP)
2499;0031 0038 002E;(⒙) (18.);(NUMBER EIGHTEEN FULL STOP) (DIGIT ONE  DIGIT EIGHT  FULL STOP)
249A;0031 0039 002E;(⒚) (19.);(NUMBER NINETEEN FULL STOP) (DIGIT ONE  DIGIT NINE  FULL STOP)
FF11;0031;(１) (1);(FULLWIDTH DIGIT ONE) (DIGIT ONE)
1D7CF;0031;(𝟏) (1);(MATHEMATICAL BOLD DIGIT ONE) (DIGIT ONE)
1D7D9;0031;(𝟙) (1);(MATHEMATICAL DOUBLE-STRUCK DIGIT ONE) (DIGIT ONE)
1D7E3;0031;(𝟣) (1);(MATHEMATICAL SANS-SERIF DIGIT ONE) (DIGIT ONE)
1D7ED;0031;(𝟭) (1);(MATHEMATICAL SANS-SERIF BOLD DIGIT ONE) (DIGIT ONE)
1D7F7;0031;(𝟷) (1);(MATHEMATICAL MONOSPACE DIGIT ONE) (DIGIT ONE)
1F102;0031;(🄂) (1);(DIGIT ONE COMMA) (DIGIT ONE)
00B2;0032;(²) (2);(SUPERSCRIPT TWO) (DIGIT TWO)
01A7;0032;(Ƨ) (2);(LATIN CAPITAL LETTER TONE TWO) (DIGIT TWO)
03E8;0032;(Ϩ) (2);(COPTIC CAPITAL LETTER HORI) (DIGIT TWO)
14BF;0032;(ᒿ) (2);(CANADIAN SYLLABICS SAYISI M) (DIGIT TWO)
2082;0032;(₂) (2);(SUBSCRIPT TWO) (DIGIT TWO)
2154;0032 002F 0033;(⅔) (2/3);(VULGAR FRACTION TWO THIRDS) (DIGIT TWO  SOLIDUS  DIGIT THREE)
2156;0032 002F 0035;(⅖) (2/5);(VULGAR FRACTION TWO FIFTHS) (DIGIT TWO  SOLIDUS  DIGIT FIVE)
2461;0032;(②) (2);(CIRCLED DIGIT TWO) (DIGIT TWO)
2473;0032 0030;(⑳) (20);(CIRCLED NUMBER TWENTY) (DIGIT TWO  DIGIT ZERO)
2489;0032 002E;(⒉) (2.);(DIGIT TWO FULL STOP) (DIGIT TWO  FULL STOP)
249B;0032 0030 002E;(⒛) (20.);(NUMBER TWENTY FULL STOP) (DIGIT TWO  DIGIT ZERO  FULL STOP)
3251;0032 0031;(㉑) (21);(CIRCLED NUMBER TWENTY ONE) (DIGIT TWO  DIGIT ONE)
3252;0032 0032;(㉒) (22);(CIRCLED NUMBER TWENTY TWO) (DIGIT TWO  DIGIT TWO)
3253;0032 0033;(㉓) (23);(CIRCLED NUMBER TWENTY THREE) (DIGIT TWO  DIGIT THREE)
3254;0032 0034;(㉔) (24);(CIRCLED NUMBER TWENTY FOUR) (DIGIT TWO  DIGIT FOUR)
3255;0032 0035;(㉕) (25);(CIRCLED NUMBER TWENTY FIVE) (DIGIT TWO  DIGIT FIVE)
3256;0032 0036;(㉖) (26);(CIRCLED NUMBER TWENTY SIX) (DIGIT TWO  DIGIT SIX)
3257;0032 0037;(㉗) (27);(CIRCLED NUMBER TWENTY SEVEN) (DIGIT TWO  DIGIT SEVEN)
3258;0032 0038;(㉘) (28);(CIRCLED NUMBER TWENTY EIGHT) (DIGIT TWO  DIGIT EIGHT)
3259;0032 0039;(㉙) (29);(CIRCLED NUMBER TWENTY NINE) (DIGIT TWO  DIGIT NINE)
A644;0032;(Ꙅ) (2);(CYRILLIC CAPITAL LETTER REVERSED DZE) (DIGIT TWO)
A6EF;0032;(ꛯ) (2);(BAMUM LETTER KOGHOM) (DIGIT TWO)
FF12;0032;(２) (2);(FULLWIDTH DIGIT TWO) (DIGIT TWO)
1D7D0;0032;(𝟐) (2);(MATHEMATICAL BOLD DIGIT TWO) (DIGIT TWO)
1D7DA;0032;(𝟚) (2);(MATHEMATICAL DOUBLE-STRUCK DIGIT TWO) (DIGIT TWO)
1D7E4;0032;(𝟤) (2);(MATHEMATICAL SANS-SERIF DIGIT TWO) (DIGIT TWO)
1D7EE;0032;(𝟮) (2);(MATHEMATICAL SANS-SERIF BOLD DIGIT TWO) (DIGIT TWO)
1D7F8;0032;(𝟸) (2);(MATHEMATICAL MONOSPACE DIGIT TWO) (DIGIT TWO)
1F103;0032;(🄃) (2);(DIGIT TWO COMMA) (DIGIT TWO)
00B3;0033;(³) (3);(SUPERSCRIPT THREE) (DIGIT THREE)
00BE;0033 002F 0034;(¾) (3/4);(VULGAR FRACTION THREE QUARTERS) (DIGIT THREE  SOLIDUS  DIGIT FOUR)
01B7;0033;(Ʒ) (3);(LATIN CAPITAL LETTER EZH) (DIGIT THREE)
021C;0033;(Ȝ) (3);(LATIN CAPITAL LETTER YOGH) (DIGIT THREE)
0417;0033;(З) (3);(CYRILLIC CAPITAL LETTER ZE) (DIGIT THREE)
0498;0033;(Ҙ) (3);(CYRILLIC CAPITAL LETTER ZE WITH DESCENDER) (DIGIT THREE)
04E0;0033;(Ӡ) (3);(CYRILLIC CAPITAL LETTER ABKHASIAN DZE) (DIGIT THREE)
0545;0033;(Յ) (3);(ARMENIAN CAPITAL LETTER YI) (DIGIT THREE)
2083;0033;(₃) (3);(SUBSCRIPT THREE) (DIGIT THREE)
2157;0033 002F 0035;(⅗) (3/5);(VULGAR FRACTION THREE FIFTHS) (DIGIT THREE  SOLIDUS  DIGIT FIVE)
215C;0033 002F 0038;(⅜) (3/8);(VULGAR FRACTION THREE EIGHTHS) (DIGIT THREE  SOLIDUS  DIGIT EIGHT)
2462;0033;(③) (3);(CIRCLED DIGIT THREE) (DIGIT THREE)
248A;0033 002E;(⒊) (3.);(DIGIT THREE FULL STOP) (DIGIT THREE  FULL STOP)
2CCC;0033;(Ⳍ) (3);(COPTIC CAPITAL LETTER OLD COPTIC HORI) (DIGIT THREE)
325A;0033 0030;(㉚) (30);(CIRCLED NUMBER THIRTY) (DIGIT THREE  DIGIT ZERO)
325B;0033 0031;(㉛) (31);(CIRCLED NUMBER THIRTY ONE) (DIGIT THREE  DIGIT ONE)
325C;0033 0032;(㉜) (32);(CIRCLED NUMBER THIRTY TWO) (DIGIT THREE  DIGIT TWO)
325D;0033 0033;(㉝) (33);(CIRCLED NUMBER THIRTY THREE) (DIGIT THREE  DIGIT THREE)
325E;0033 0034;(㉞) (34);(CIRCLED NUMBER THIRTY FOUR) (DIGIT THREE  DIGIT FOUR)
325F;0033 0035;(㉟) (35);(CIRCLED NUMBER THIRTY FIVE) (DIGIT THREE  DIGIT FIVE)
32B1;0033 0036;(㊱) (36);(CIRCLED NUMBER THIRTY SIX) (DIGIT THREE  DIGIT SIX)
32B2;0033 0037;(㊲) (37);(CIRCLED NUMBER THIRTY SEVEN) (DIGIT THREE  DIGIT SEVEN)
32B3;0033 0038;(㊳) (38);(CIRCLED NUMBER THIRTY EIGHT) (DIGIT THREE  DIGIT EIGHT)
32B4;0033 0039;(㊴) (39);(CIRCLED NUMBER THIRTY NINE) (DIGIT THREE  DIGIT NINE)
A76A;0033;(Ꝫ) (3);(LATIN CAPITAL LETTER ET) (DIGIT THREE)
A7AB;0033;(Ɜ) (3);(LATIN CAPITAL LETTER REVERSED OPEN E) (DIGIT THREE)
FF13;0033;(３) (3);(FULLWIDTH DIGIT THREE) (DIGIT THREE)
118CA;0033;(𑣊) (3);(WARANG CITI SMALL LETTER ANG) (DIGIT THREE)
1D206;0033;(𝈆) (3);(GREEK VOCAL NOTATION SYMBOL-7) (DIGIT THREE)
1D7D1;0033;(𝟑) (3);(MATHEMATICAL BOLD DIGIT THREE) (DIGIT THREE)
1D7DB;0033;(𝟛) (3);(MATHEMATICAL DOUBLE-STRUCK DIGIT THREE) (DIGIT THREE)
1D7E5;0033;(𝟥) (3);(MATHEMATICAL SANS-SERIF DIGIT THREE) (DIGIT THREE)
1D7EF;0033;(𝟯) (3);(MATHEMATICAL SANS-SERIF BOLD DIGIT THREE) (DIGIT THREE)
1D7F9;0033;(𝟹) (3);(MATHEMATICAL MONOSPACE DIGIT THREE) (DIGIT THREE)
1F104;0033;(🄄) (3);(DIGIT THREE COMMA) (DIGIT THREE)
13CE;0034;(Ꮞ) (4);(CHEROKEE LETTER SE) (DIGIT FOUR)
152F;0034;(ᔯ) (4);(CANADIAN SYLLABICS YWE) (DIGIT FOUR)
1530;0034;(ᔰ) (4);(CANADIAN SYLLABICS WEST-CREE YWE) (DIGIT FOUR)
2074;0034;(⁴) (4);(SUPERSCRIPT FOUR) (DIGIT FOUR)
2084;0034;(₄) (4);(SUBSCRIPT FOUR) (DIGIT FOUR)
2158;0034 002F 0035;(⅘) (4/5);(VULGAR FRACTION FOUR FIFTHS) (DIGIT FOUR  SOLIDUS  DIGIT FIVE)
2463;0034;(④) (4);(CIRCLED DIGIT FOUR) (DIGIT FOUR)
248B;0034 002E;(⒋) (4.);(DIGIT FOUR FULL STOP) (DIGIT FOUR  FULL STOP)
32B5;0034 0030;(㊵) (40);(CIRCLED NUMBER FORTY) (DIGIT FOUR  DIGIT ZERO)
32B6;0034 0031;(㊶) (41);(CIRCLED NUMBER FORTY ONE) (DIGIT FOUR  DIGIT ONE)
32B7;0034 0032;(㊷) (42);(CIRCLED NUMBER FORTY TWO) (DIGIT FOUR  DIGIT TWO)
32B8;0034 0033;(㊸) (43);(CIRCLED NUMBER FORTY THREE) (DIGIT FOUR  DIGIT THREE)
32B9;0034 0034;(㊹) (44);(CIRCLED NUMBER FORTY FOUR) (DIGIT FOUR  DIGIT FOUR)
32BA;0034 0035;(㊺) (45);(CIRCLED NUMBER FORTY FIVE) (DIGIT FOUR  DIGIT FIVE)
32BB;0034 0036;(㊻) (46);(CIRCLED NUMBER FORTY SIX) (DIGIT FOUR  DIGIT SIX)
32BC;0034 0037;(㊼) (47);(CIRCLED NUMBER FORTY SEVEN) (DIGIT FOUR  DIGIT SEVEN)
32BD;0034 0038;(㊽) (48);(CIRCLED NUMBER FORTY EIGHT) (DIGIT FOUR  DIGIT EIGHT)
32BE;0034 0039;(㊾) (49);(CIRCLED NUMBER FORTY NINE) (DIGIT FOUR  DIGIT NINE)
FF14;0034;(４) (4);(FULLWIDTH DIGIT FOUR) (DIGIT FOUR)
118AF;0034;(𑢯) (4);(WARANG CITI CAPITAL LETTER UC) (DIGIT FOUR)
1D7D2;0034;(𝟒) (4);(MATHEMATICAL BOLD DIGIT FOUR) (DIGIT FOUR)
1D7DC;0034;(𝟜) (4);(MATHEMATICAL DOUBLE-STRUCK DIGIT FOUR) (DIGIT FOUR)
1D7E6;0034;(𝟦) (4);(MATHEMATICAL SANS-SERIF DIGIT FOUR) (DIGIT FOUR)
1D7F0;0034;(𝟰) (4);(MATHEMATICAL SANS-SERIF BOLD DIGIT FOUR) (DIGIT FOUR)
1D7FA;0034;(𝟺) (4);(MATHEMATICAL MONOSPACE DIGIT FOUR) (DIGIT FOUR)
1F105;0034;(🄅) (4);(DIGIT FOUR COMMA) (DIGIT FOUR)
01BC;0035;(Ƽ) (5);(LATIN CAPITAL LETTER TONE FIVE) (DIGIT FIVE)
01BD;0035;(ƽ) (5);(LATIN SMALL LETTER TONE FIVE) (DIGIT FIVE)
2075;0035;(⁵) (5);(SUPERSCRIPT FIVE) (DIGIT FIVE)
2085;0035;(₅) (5);(SUBSCRIPT FIVE) (DIGIT FIVE)
215A;0035 002F 0036;(⅚) (5/6);(VULGAR FRACTION FIVE SIXTHS) (DIGIT FIVE  SOLIDUS  DIGIT SIX)
215D;0035 002F 0038;(⅝) (5/8);(VULGAR FRACTION FIVE EIGHTHS) (DIGIT FIVE  SOLIDUS  DIGIT EIGHT)
2464;0035;(⑤) (5);(CIRCLED DIGIT FIVE) (DIGIT FIVE)
248C;0035 002E;(⒌) (5.);(DIGIT FIVE FULL STOP) (DIGIT FIVE  FULL STOP)
32BF;0035 0030;(㊿) (50);(CIRCLED NUMBER FIFTY) (DIGIT FIVE  DIGIT ZERO)
FF15;0035;(５) (5);(FULLWIDTH DIGIT FIVE) (DIGIT FIVE)
118BB;0035;(𑢻) (5);(WARANG CITI CAPITAL LETTER HORR) (DIGIT FIVE)
1D7D3;0035;(𝟓) (5);(MATHEMATICAL BOLD DIGIT FIVE) (DIGIT FIVE)
1D7DD;0035;(𝟝) (5);(MATHEMATICAL DOUBLE-STRUCK DIGIT FIVE) (DIGIT FIVE)
1D7E7;0035;(𝟧) (5);(MATHEMATICAL SANS-SERIF DIGIT FIVE) (DIGIT FIVE)
1D7F1;0035;(𝟱) (5);(MATHEMATICAL SANS-SERIF BOLD DIGIT FIVE) (DIGIT FIVE)
1D7FB;0035;(𝟻) (5);(MATHEMATICAL MONOSPACE DIGIT FIVE) (DIGIT FIVE)
1F106;0035;(🄆) (5);(DIGIT FIVE COMMA) (DIGIT FIVE)
0431;0036;(б) (6);(CYRILLIC SMALL LETTER BE) (DIGIT SIX)
13EE;0036;(Ꮾ) (6);(CHEROKEE LETTER WV) (DIGIT SIX)
2076;0036;(⁶) (6);(SUPERSCRIPT SIX) (DIGIT SIX)
2086;0036;(₆) (6);(SUBSCRIPT SIX) (DIGIT SIX)
2465;0036;(⑥) (6);(CIRCLED DIGIT SIX) (DIGIT SIX)
248D;0036 002E;(⒍) (6.);(DIGIT SIX FULL STOP) (DIGIT SIX  FULL STOP)
2CD2;0036;(Ⳓ) (6);(COPTIC CAPITAL LETTER OLD COPTIC HEI) (DIGIT SIX)
FF16;0036;(６) (6);(FULLWIDTH DIGIT SIX) (DIGIT SIX)
118D5;0036;(𑣕) (6);(WARANG CITI SMALL LETTER AT) (DIGIT SIX)
1D7D4;0036;(𝟔) (6);(MATHEMATICAL BOLD DIGIT SIX) (DIGIT SIX)
1D7DE;0036;(𝟞) (6);(MATHEMATICAL DOUBLE-STRUCK DIGIT SIX) (DIGIT SIX)
1D7E8;0036;(𝟨) (6);(MATHEMATICAL SANS-SERIF DIGIT SIX) (DIGIT SIX)
1D7F2;0036;(𝟲) (6);(MATHEMATICAL SANS-SERIF BOLD DIGIT SIX) (DIGIT SIX)
1D7FC;0036;(𝟼) (6);(MATHEMATICAL MONOSPACE DIGIT SIX) (DIGIT SIX)
1F107;0036;(🄇) (6);(DIGIT SIX COMMA) (DIGIT SIX)
2077;0037;(⁷) (7);(SUPERSCRIPT SEVEN) (DIGIT SEVEN)
2087;0037;(₇) (7);(SUBSCRIPT SEVEN) (DIGIT SEVEN)
215E;0037 002F 0038;(⅞) (7/8);(VULGAR FRACTION SEVEN EIGHTHS) (DIGIT SEVEN  SOLIDUS  DIGIT EIGHT)
2466;0037;(⑦) (7);(CIRCLED DIGIT SEVEN) (DIGIT SEVEN)
248E;0037 002E;(⒎) (7.);(DIGIT SEVEN FULL STOP) (DIGIT SEVEN  FULL STOP)
FF17;0037;(７) (7);(FULLWIDTH DIGIT SEVEN) (DIGIT SEVEN)
118C6;0037;(𑣆) (7);(WARANG CITI SMALL LETTER II) (DIGIT SEVEN)
1D212;0037;(𝈒) (7);(GREEK VOCAL NOTATION SYMBOL-19) (DIGIT SEVEN)
1D7D5;0037;(𝟕) (7);(MATHEMATICAL BOLD DIGIT SEVEN) (DIGIT SEVEN)
1D7DF;0037;(𝟟) (7);(MATHEMATICAL DOUBLE-STRUCK DIGIT SEVEN) (DIGIT SEVEN)
1D7E9;0037;(𝟩) (7);(MATHEMATICAL SANS-SERIF DIGIT SEVEN) (DIGIT SEVEN)
1D7F3;0037;(𝟳) (7);(MATHEMATICAL SANS-SERIF BOLD DIGIT SEVEN) (DIGIT SEVEN)
1D7FD;0037;(𝟽) (7);(MATHEMATICAL MONOSPACE DIGIT SEVEN) (DIGIT SEVEN)
1F108;0037;(🄈) (7);(DIGIT SEVEN COMMA) (DIGIT SEVEN)
0222;0038;(Ȣ) (8);(LATIN CAPITAL LETTER OU) (DIGIT EIGHT)
0223;0038;(ȣ) (8);(LATIN SMALL LETTER OU) (DIGIT EIGHT)
09EA;0038;(৪) (8);(BENGALI DIGIT FOUR) (DIGIT EIGHT)
0A6A;0038;(੪) (8);(GURMUKHI DIGIT FOUR) (DIGIT EIGHT)
0B03;0038;(ଃ) (8);(ORIYA SIGN VISARGA) (DIGIT EIGHT)
2078;0038;(⁸) (8);(SUPERSCRIPT EIGHT) (DIGIT EIGHT)
2088;0038;(₈) (8);(SUBSCRIPT EIGHT) (DIGIT EIGHT)
2467;0038;(⑧) (8);(CIRCLED DIGIT EIGHT) (DIGIT EIGHT)
248F;0038 002E;(⒏) (8.);(DIGIT EIGHT FULL STOP) (DIGIT EIGHT  FULL STOP)
FF18;0038;(８) (8);(FULLWIDTH DIGIT EIGHT) (DIGIT EIGHT)
1031A;0038;(𐌚) (8);(OLD ITALIC LETTER EF) (DIGIT EIGHT)
1D7D6;0038;(𝟖) (8);(MATHEMATICAL BOLD DIGIT EIGHT) (DIGIT EIGHT)
1D7E0;0038;(𝟠) (8);(MATHEMATICAL DOUBLE-STRUCK DIGIT EIGHT) (DIGIT EIGHT)
1D7EA;0038;(𝟪) (8);(MATHEMATICAL SANS-SERIF DIGIT EIGHT) (DIGIT EIGHT)
1D7F4;0038;(𝟴) (8);(MATHEMATICAL SANS-SERIF BOLD DIGIT EIGHT) (DIGIT EIGHT)
